case_study,scenario,value,reference,variable
santa_barbara,baseline,0.1,nawi,exp_return_on_equity
santa_barbara,baseline,3.4,nawi,default_tpec_multiplier
santa_barbara,baseline,1.65,nawi,default_tic_multiplier
santa_barbara,baseline,0.0005,nawi,salary_cost_factor
santa_barbara,baseline,1,nawi,utilization_factor
solaire,baseline,2020,nawi,basis_year
solaire,baseline,new york,nawi,location_basis
solaire,baseline,30,nawi,plant_lifetime
solaire,baseline,0.0015,nawi,land_cost_factor
solaire,baseline,0.05,nawi,working_capital_factor
solaire,baseline,0.001,nawi,salaries_percent
solaire,baseline,0.9,nawi,benefits_cost_factor
solaire,baseline,0.008,nawi,maintenance_cost_factor
solaire,baseline,0.003,nawi,laboratory_cost_factor
solaire,baseline,0.002,nawi,insurance_taxes_cost_factor
solaire,baseline,0.7,nawi,default_cap_scaling_exp
solaire,baseline,0.7,nawi,default_opex_scaling_exp
solaire,baseline,0,nawi,cap_by_equity
solaire,baseline,0.05,nawi,debt_interest_rate
solaire,baseline,0.1,nawi,exp_return_on_equity
solaire,baseline,3.4,nawi,default_tpec_multiplier
solaire,baseline,1.65,nawi,default_tic_multiplier
solaire,baseline,0.0005,nawi,salary_cost_factor
solaire,baseline,1,nawi,utilization_factor
tampa_bay,baseline,2020,nawi,basis_year
tampa_bay,baseline,florida,nawi,location_basis
tampa_bay,baseline,20,nawi,plant_lifetime
tampa_bay,baseline,0.0015,nawi,land_cost_factor
tampa_bay,baseline,0.05,nawi,working_capital_factor
tampa_bay,baseline,0.0015,nawi,salaries_percent
tampa_bay,baseline,0.9,nawi,benefits_cost_factor
tampa_bay,baseline,0.008,nawi,maintenance_cost_factor
tampa_bay,baseline,0.003,nawi,laboratory_cost_factor
tampa_bay,baseline,0.002,nawi,insurance_taxes_cost_factor
tampa_bay,baseline,0.7,nawi,default_cap_scaling_exp
tampa_bay,baseline,0.7,nawi,default_opex_scaling_exp
tampa_bay,baseline,0,nawi,cap_by_equity
tampa_bay,baseline,0.05,nawi,debt_interest_rate
tampa_bay,baseline,0.1,nawi,exp_return_on_equity
tampa_bay,baseline,3.4,nawi,default_tpec_multiplier
tampa_bay,baseline,1.65,nawi,default_tic_multiplier
tampa_bay,baseline,0.0005,nawi,salary_cost_factor
tampa_bay,baseline,0.75,nawi,utilization_factor
test_bc,baseline,2020,nawi,basis_year
test_bc,baseline,colorado,nawi,location_basis
test_bc,baseline,20,nawi,plant_lifetime
test_bc,baseline,0.0015,nawi,land_cost_factor
test_bc,baseline,0.05,nawi,working_capital_factor
test_bc,baseline,0.001,nawi,salaries_percent
test_bc,baseline,0.9,nawi,benefits_cost_factor
test_bc,baseline,0.008,nawi,maintenance_cost_factor
test_bc,baseline,0.003,nawi,laboratory_cost_factor
test_bc,baseline,0.002,nawi,insurance_taxes_cost_factor
test_bc,baseline,0.7,nawi,default_cap_scaling_exp
test_bc,baseline,0.7,nawi,default_opex_scaling_exp
test_bc,baseline,0,nawi,cap_by_equity
test_bc,baseline,0.05,nawi,debt_interest_rate
test_bc,baseline,0.1,nawi,exp_return_on_equity
test_bc,baseline,3.4,nawi,default_tpec_multiplier
test_bc,baseline,1.65,nawi,default_tic_multiplier
test_bc,baseline,0.0005,nawi,salary_cost_factor
test_bc,baseline,1,nawi,utilization_factor
test_plumlee,baseline,2020,nawi,basis_year
test_plumlee,baseline,plumlee,nawi,location_basis
test_plumlee,baseline,20,nawi,plant_lifetime
test_plumlee,baseline,0.0015,nawi,land_cost_factor
test_plumlee,baseline,0.05,nawi,working_capital_factor
test_plumlee,baseline,0.001,nawi,salaries_percent
test_plumlee,baseline,0.9,nawi,benefits_cost_factor
test_plumlee,baseline,0.008,nawi,maintenance_cost_factor
test_plumlee,baseline,0.003,nawi,laboratory_cost_factor
